# Generated by /Users/luque/projects/cstream/tools/swarm_expand.py swarm_air.txt
# Wed Apr  6 10:43:01 2016

# Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
# the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.
# 
# Tgas	300	K
# EEDF	1	(type of EEDF : 1 = non-Maxwellian)
# ENmin	0.1	Td
# ENmax	1000	Td
# points	100
# N2	0.79	SIGLO database
# O2	0.21	Phelps database
# 

#
#  E+O2->E+O2(ROT),EXCITATION
#

1.000000000000000056e-01 4.955999999999999860e-19
1.097000000000000058e-01 6.041000000000000250e-19
1.204999999999999960e-01 7.170000000000000174e-19
1.322000000000000119e-01 8.345999999999999733e-19
1.451000000000000068e-01 9.594000000000000719e-19
1.592000000000000082e-01 1.095999999999999984e-18
1.748000000000000109e-01 1.248000000000000023e-18
1.917999999999999983e-01 1.418999999999999922e-18
2.104999999999999927e-01 1.609000000000000067e-18
2.310000000000000109e-01 1.814999999999999972e-18
2.535000000000000031e-01 2.037000000000000023e-18
2.782999999999999918e-01 2.273999999999999995e-18
3.054000000000000048e-01 2.525000000000000046e-18
3.351999999999999980e-01 2.793999999999999924e-18
3.678000000000000158e-01 3.081999999999999855e-18
4.037000000000000033e-01 3.392999999999999972e-18
4.430999999999999939e-01 3.728999999999999956e-18
4.863000000000000100e-01 4.092999999999999714e-18
5.336999999999999522e-01 4.488999999999999764e-18
5.856999999999999984e-01 4.920000000000000013e-18
6.428000000000000380e-01 5.389999999999999823e-18
7.055000000000000160e-01 5.901999999999999872e-18
7.742999999999999883e-01 6.467999999999999788e-18
8.497999999999999998e-01 7.088999999999999796e-18
9.325999999999999845e-01 7.775000000000000614e-18
1.024000000000000021e+00 8.539999999999999240e-18
1.122999999999999998e+00 9.392000000000000561e-18
1.233000000000000096e+00 1.034000000000000045e-17
1.352999999999999980e+00 1.141000000000000015e-17
1.485000000000000098e+00 1.260999999999999992e-17
1.629999999999999893e+00 1.398000000000000111e-17
1.788999999999999924e+00 1.551000000000000144e-17
1.963000000000000078e+00 1.720000000000000092e-17
2.153999999999999915e+00 1.904000000000000038e-17
2.363999999999999879e+00 2.101000000000000145e-17
2.595000000000000195e+00 2.303000000000000149e-17
2.847999999999999865e+00 2.509000000000000131e-17
3.125999999999999890e+00 2.702999999999999869e-17
3.430000000000000160e+00 2.888999999999999958e-17
3.765000000000000124e+00 3.053000000000000010e-17
4.131999999999999673e+00 3.196999999999999860e-17
4.535000000000000142e+00 3.316999999999999837e-17
4.977000000000000313e+00 3.412000000000000025e-17
5.461999999999999744e+00 3.485000000000000176e-17
5.995000000000000107e+00 3.536000000000000290e-17
6.578999999999999737e+00 3.570999999999999873e-17
7.221000000000000085e+00 3.590000000000000157e-17
7.924999999999999822e+00 3.597000000000000196e-17
8.696999999999999176e+00 3.596000000000000279e-17
9.544999999999999929e+00 3.585999999999999870e-17
1.048000000000000043e+01 3.570999999999999873e-17
1.150000000000000000e+01 3.552000000000000205e-17
1.261999999999999922e+01 3.529000000000000250e-17
1.384999999999999964e+01 3.504999999999999762e-17
1.519999999999999929e+01 3.479000000000000054e-17
1.667999999999999972e+01 3.451999999999999812e-17
1.830999999999999872e+01 3.422999999999999736e-17
2.008999999999999986e+01 3.394000000000000275e-17
2.205000000000000071e+01 3.364000000000000281e-17
2.419999999999999929e+01 3.332999999999999752e-17
2.655999999999999872e+01 3.301999999999999840e-17
2.914999999999999858e+01 3.265999999999999724e-17
3.198999999999999844e+01 3.226999999999999854e-17
3.510999999999999943e+01 3.187000000000000067e-17
3.853999999999999915e+01 3.140000000000000240e-17
4.228999999999999915e+01 3.088000000000000209e-17
4.642000000000000171e+01 3.023999999999999933e-17
5.093999999999999773e+01 2.947000000000000111e-17
5.590999999999999659e+01 2.852999999999999841e-17
6.135999999999999943e+01 2.738000000000000068e-17
6.734000000000000341e+01 2.603000000000000093e-17
7.390999999999999659e+01 2.446999999999999999e-17
8.110999999999999943e+01 2.274000000000000072e-17
8.901999999999999602e+01 2.088999999999999901e-17
9.770000000000000284e+01 1.892000000000000101e-17
1.072000000000000028e+02 1.703999999999999869e-17
1.177000000000000028e+02 1.515999999999999945e-17
1.291999999999999886e+02 1.343999999999999936e-17
1.416999999999999886e+02 1.187999999999999996e-17
1.555999999999999943e+02 1.043000000000000074e-17
1.706999999999999886e+02 9.156999999999999886e-18
1.874000000000000057e+02 8.186999999999999654e-18
2.056999999999999886e+02 7.129999999999999809e-18
2.256999999999999886e+02 6.364000000000000187e-18
2.476999999999999886e+02 5.617000000000000233e-18
2.718999999999999773e+02 5.052999999999999999e-18
2.983999999999999773e+02 4.488000000000000309e-18
3.275000000000000000e+02 4.009000000000000007e-18
3.593999999999999773e+02 3.625000000000000356e-18
3.943999999999999773e+02 3.214999999999999841e-18
4.328999999999999773e+02 2.919000000000000029e-18
4.751000000000000227e+02 2.612000000000000045e-18
5.213999999999999773e+02 2.334000000000000061e-18
5.722000000000000455e+02 2.105999999999999810e-18
6.280000000000000000e+02 1.923999999999999931e-18
6.892999999999999545e+02 1.712000000000000019e-18
7.565000000000000000e+02 1.524999999999999974e-18
8.302000000000000455e+02 1.377000000000000068e-18
9.112000000000000455e+02 1.246999999999999990e-18
1.000000000000000000e+03 1.116999999999999911e-18
