# Generated by /Users/luque/projects/cstream/tools/swarm_expand.py swarm_air.txt
# Wed Apr  6 10:43:01 2016

# Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
# the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.
# 
# Tgas	300	K
# EEDF	1	(type of EEDF : 1 = non-Maxwellian)
# ENmin	0.1	Td
# ENmax	1000	Td
# points	100
# N2	0.79	SIGLO database
# O2	0.21	Phelps database
# 

1.000000000000000056e-01 4.066000000000000170e-02
1.097000000000000058e-01 4.497999999999999915e-02
1.204999999999999960e-01 4.991000000000000297e-02
1.322000000000000119e-01 5.546999999999999847e-02
1.451000000000000068e-01 6.171999999999999709e-02
1.592000000000000082e-01 6.864000000000000656e-02
1.748000000000000109e-01 7.614999999999999547e-02
1.917999999999999983e-01 8.412000000000000033e-02
2.104999999999999927e-01 9.235000000000000153e-02
2.310000000000000109e-01 1.005999999999999950e-01
2.535000000000000031e-01 1.087999999999999939e-01
2.782999999999999918e-01 1.168000000000000010e-01
3.054000000000000048e-01 1.243999999999999967e-01
3.351999999999999980e-01 1.318999999999999895e-01
3.678000000000000158e-01 1.391000000000000014e-01
4.037000000000000033e-01 1.463000000000000134e-01
4.430999999999999939e-01 1.532999999999999918e-01
4.863000000000000100e-01 1.605000000000000038e-01
5.336999999999999522e-01 1.678000000000000047e-01
5.856999999999999984e-01 1.753000000000000114e-01
6.428000000000000380e-01 1.829999999999999960e-01
7.055000000000000160e-01 1.912000000000000088e-01
7.742999999999999883e-01 1.995999999999999996e-01
8.497999999999999998e-01 2.086000000000000076e-01
9.325999999999999845e-01 2.182999999999999940e-01
1.024000000000000021e+00 2.285999999999999976e-01
1.122999999999999998e+00 2.399999999999999911e-01
1.233000000000000096e+00 2.525999999999999912e-01
1.352999999999999980e+00 2.666999999999999926e-01
1.485000000000000098e+00 2.827999999999999958e-01
1.629999999999999893e+00 3.012000000000000233e-01
1.788999999999999924e+00 3.222999999999999754e-01
1.963000000000000078e+00 3.469999999999999751e-01
2.153999999999999915e+00 3.750999999999999890e-01
2.363999999999999879e+00 4.068999999999999839e-01
2.595000000000000195e+00 4.420999999999999930e-01
2.847999999999999865e+00 4.808000000000000052e-01
3.125999999999999890e+00 5.211999999999999966e-01
3.430000000000000160e+00 5.636999999999999789e-01
3.765000000000000124e+00 6.059999999999999831e-01
4.131999999999999673e+00 6.481999999999999984e-01
4.535000000000000142e+00 6.889999999999999458e-01
4.977000000000000313e+00 7.276000000000000245e-01
5.461999999999999744e+00 7.641000000000000014e-01
5.995000000000000107e+00 7.979000000000000536e-01
6.578999999999999737e+00 8.288999999999999702e-01
7.221000000000000085e+00 8.574000000000000510e-01
7.924999999999999822e+00 8.830000000000000071e-01
8.696999999999999176e+00 9.063999999999999835e-01
9.544999999999999929e+00 9.275999999999999801e-01
1.048000000000000043e+01 9.465999999999999970e-01
1.150000000000000000e+01 9.637999999999999901e-01
1.261999999999999922e+01 9.794000000000000483e-01
1.384999999999999964e+01 9.937000000000000277e-01
1.519999999999999929e+01 1.006999999999999895e+00
1.667999999999999972e+01 1.018000000000000016e+00
1.830999999999999872e+01 1.030999999999999917e+00
2.008999999999999986e+01 1.040000000000000036e+00
2.205000000000000071e+01 1.050999999999999934e+00
2.419999999999999929e+01 1.060999999999999943e+00
2.655999999999999872e+01 1.070999999999999952e+00
2.914999999999999858e+01 1.082000000000000073e+00
3.198999999999999844e+01 1.094999999999999973e+00
3.510999999999999943e+01 1.110000000000000098e+00
3.853999999999999915e+01 1.129000000000000004e+00
4.228999999999999915e+01 1.155000000000000027e+00
4.642000000000000171e+01 1.193999999999999950e+00
5.093999999999999773e+01 1.249000000000000110e+00
5.590999999999999659e+01 1.328000000000000069e+00
6.135999999999999943e+01 1.435999999999999943e+00
6.734000000000000341e+01 1.582000000000000073e+00
7.390999999999999659e+01 1.766000000000000014e+00
8.110999999999999943e+01 1.989999999999999991e+00
8.901999999999999602e+01 2.253000000000000114e+00
9.770000000000000284e+01 2.556999999999999940e+00
1.072000000000000028e+02 2.874000000000000110e+00
1.177000000000000028e+02 3.218999999999999861e+00
1.291999999999999886e+02 3.575000000000000178e+00
1.416999999999999886e+02 3.931999999999999940e+00
1.555999999999999943e+02 4.293999999999999595e+00
1.706999999999999886e+02 4.657000000000000028e+00
1.874000000000000057e+02 4.991999999999999993e+00
2.056999999999999886e+02 5.378999999999999559e+00
2.256999999999999886e+02 5.740000000000000213e+00
2.476999999999999886e+02 6.129999999999999893e+00
2.718999999999999773e+02 6.519000000000000128e+00
2.983999999999999773e+02 6.943999999999999950e+00
3.275000000000000000e+02 7.392000000000000348e+00
3.593999999999999773e+02 7.860000000000000320e+00
3.943999999999999773e+02 8.381000000000000227e+00
4.328999999999999773e+02 8.923999999999999488e+00
4.751000000000000227e+02 9.521000000000000796e+00
5.213999999999999773e+02 1.016999999999999993e+01
5.722000000000000455e+02 1.086999999999999922e+01
6.280000000000000000e+02 1.161999999999999922e+01
6.892999999999999545e+02 1.244999999999999929e+01
7.565000000000000000e+02 1.335999999999999943e+01
8.302000000000000455e+02 1.434999999999999964e+01
9.112000000000000455e+02 1.541999999999999993e+01
1.000000000000000000e+03 1.660999999999999943e+01
